Node_ID,Name,Type,X,Y,PX,PY,Parent
224,学生食堂西北,Intersection,718.14,1181.1,853.1364953680052,503.8975424655352,
225,学生食堂西南,Intersection,720.31,1149.03,855.3110054490662,535.9715661611851,
226,档案馆北,Intersection,637.65,1104.03,772.6511949661468,580.9652138970974,
227,综合服务大厅南,Intersection,663.0,1102.16,797.9963412155112,582.842632137791,
228,球场西北侧路口,Intersection,718.85,1101.69,853.8495338761475,583.3119866979646,
229,学生食堂南,Intersection,765.32,1103.57,900.3156353333154,581.4345684572709,
230,篮球场东,Intersection,719.79,1002.18,854.7882429964943,682.8151534547283,
231,东配楼西南侧路口,Intersection,906.24,1102.15,1041.2378748443089,582.8504213308943,
232,东北门西侧路口,Intersection,1000.04,1350.82,1135.0386663883364,334.183893412163,
233,东配楼西南侧直角转弯,Intersection,999.41,1102.15,1134.4091308746183,582.8504213308943,
234,图书馆北,Intersection,554.09,1100.5,689.0920589796863,584.4965813642247,
235,图书馆南,Intersection,553.28,915.01,688.2820277387299,769.993735543258,
236,球场西南侧路口,Intersection,720.15,912.58,855.1484633757642,772.4238292661273,
237,体育馆北侧路口,Intersection,906.46,915.82,1041.455648795754,769.1837043023015,
238,体育馆北,Intersection,927.52,914.2,1062.5164610606223,770.8037667842144,
239,学29公寓南,Intersection,951.82,916.63,1086.8173982893168,768.373673061345,
240,游泳馆北,Intersection,971.26,914.2,1106.2581480722722,770.8037667842144,
241,体育馆西北,Intersection,855.42,914.2,990.423680615496,770.8037667842144,
242,体育馆西南,Intersection,854.61,727.08,989.6136493745396,957.9209834451608,
243,全民健身直角转弯,Intersection,870.81,724.65,1005.814274193669,960.35107716803,
244,科学会堂北,Intersection,793.86,724.65,928.8613063028037,960.35107716803,
245,物业中心配电室东,Intersection,717.72,863.97,852.7183696528948,821.025703723516,
246,教一楼东,Intersection,717.88,790.57,852.878113287952,894.4309889432622,
247,体育场西北,Intersection,870.88,695.5,1005.8848160590036,989.5031149369252,
248,体育场西门,Intersection,870.88,625.68,1005.8848160590036,1059.3217074635215,
249,科学会堂南,Intersection,746.85,537.29,881.8454016766462,1147.709074598255,
250,李白烈士雕像路口,Intersection,869.4,536.55,1004.3993140903526,1148.4518255825806,
251,创新楼东南角直角转弯,Intersection,870.14,366.46,1005.142065074678,1318.5418009931184,
252,创新楼南,Intersection,795.87,363.49,930.8669666421288,1321.5128049304203,
253,科学会堂西南侧路口,Intersection,717.88,538.03,852.878113287952,1146.9663236139295,
254,科学会堂西北侧路口,Intersection,718.62,725.95,853.6208642722776,959.05032457958,
255,教二西南侧路口,Intersection,718.62,363.49,853.6208642722776,1321.5128049304203,
256,教一楼南,Intersection,567.84,722.24,702.8424144542025,962.7640795012074,
257,教二楼北,Intersection,570.81,535.81,705.8134183915045,1149.194576566906,
258,资产管理处-审计处,Building,462.81,843.35,597.8110709941423,841.6522464344699,资产管理处-审计处
259,财务处,Building,498.02,843.35,633.0160107069407,841.6522464344699,财务处
260,财务处西,Intersection,407.89,841.94,542.8913650421764,843.0604440229819,
261,图书馆西,Intersection,411.26,1011.68,546.2608805062914,673.3179772448999,
262,国旗台路口,Intersection,407.99,628.7,542.9932343773794,1056.3023781331158,
263,教四楼东教一楼西,Intersection,408.83,797.32,543.8282526024256,887.6788009750076,
264,科学技术研究院南,Intersection,633.46,914.25,768.4562293971667,770.7518457685444,
265,经管楼南侧路口,Intersection,409.13,1344.23,544.1309319745568,340.7726241558441,None
